subject,phase,trial,condition,n_clicks,expected_n_clicks,click_ioi_std_ms,click_flagged,n_taps,snr_ratio,bleed_frac,bleed_flagged,low_confidence_trial,duration_diff_ms
sub02,test,1,spontaneous,60,60,2.653378308411715e-13,False,59,47.846722077493,0.5254237288135594,True,False,0.35416666666776564
sub02,test,2,spontaneous,52,52,1.1585854748669877e-12,False,50,47.265022451722224,0.3,False,False,0.35416666666776564
sub02,test,3,cued,54,54,1.1293303978349584e-12,False,54,48.2681458944816,0.42592592592592593,True,False,13.979166666665321
sub02,test,4,spontaneous,54,54,1.1293303978349584e-12,False,52,50.00554779334607,0.3269230769230769,True,False,0.35416666666776564
sub02,test,5,cued,52,52,1.1585854748669877e-12,False,52,57.38803652639417,0.11538461538461539,False,False,28.31249999999841
sub02,test,6,cued,50,50,1.2456165569518378e-12,False,48,57.50978870535161,0.3333333333333333,True,False,28.31249999999841
sub02,test,7,spontaneous,57,57,1.0670565978999118e-12,False,57,48.59538361148215,0.5964912280701754,True,False,0.35416666666776564
sub02,test,8,spontaneous,54,54,1.1293303978349584e-12,False,52,55.72394076383426,0.4230769230769231,True,False,0.35416666666776564
sub02,test,9,spontaneous,60,60,2.653378308411715e-13,False,59,60.71224835540666,0.3898305084745763,True,False,0.35416666666776564
sub02,test,10,cued,56,56,1.2170173257578512e-12,False,56,48.249516016724954,0.05357142857142857,False,False,28.31249999999841
sub02,test,11,spontaneous,52,52,1.1585854748669877e-12,False,52,47.923036858093774,0.36538461538461536,True,False,0.35416666666776564
sub02,test,12,cued,50,50,1.2456165569518378e-12,False,50,52.490894659854575,0.42,True,False,28.31249999999841
sub02,test,13,spontaneous,54,54,1.1293303978349584e-12,False,54,59.603655682361996,0.5370370370370371,True,False,0.35416666666776564
sub02,test,14,cued,52,52,1.1585854748669877e-12,False,52,44.05342504324012,0.2692307692307692,False,False,28.31249999999841
sub02,test,15,cued,56,56,1.2170173257578512e-12,False,54,78.5693247728591,0.4074074074074074,True,False,28.31249999999841
sub02,test,16,spontaneous,50,50,1.2456165569518378e-12,False,50,71.68060538889326,0.24,False,False,0.35416666666776564
sub02,test,17,cued,56,56,1.2170173257578512e-12,False,56,75.64553942505415,0.3392857142857143,True,False,28.31249999999841
sub02,test,18,spontaneous,50,50,1.2456165569518378e-12,False,50,66.50147384208739,0.22,False,False,0.35416666666776564
sub02,test,19,cued,50,50,1.2456165569518378e-12,False,50,74.19004031400856,0.16,False,False,28.31249999999841
sub02,test,20,cued,50,50,1.2456165569518378e-12,False,50,60.18621661506561,0.22,False,False,28.31249999999841
