subject,phase,trial,condition,meter,bpm,switch_time,tap_idx,tap_time_s,peak_amp,rms_db
sub02,test,1,spontaneous,2,120.0,0,0,0.6235208333333333,271.0,31.05801745428554
sub02,test,1,spontaneous,2,120.0,0,1,1.0134791666666667,632.0,37.8009748846376
sub02,test,1,spontaneous,2,120.0,0,2,1.5334791666666667,232.0,29.895100703629783
sub02,test,1,spontaneous,2,120.0,0,3,2.0233125,593.0,37.62297837081587
sub02,test,1,spontaneous,2,120.0,0,4,2.550145833333333,155.0,27.487542224933627
sub02,test,1,spontaneous,2,120.0,0,5,3.050895833333333,649.0,37.48605371691299
sub02,test,1,spontaneous,2,120.0,0,6,3.5711458333333335,176.0,28.48241304484916
sub02,test,1,spontaneous,2,120.0,0,7,4.054541666666666,743.0,38.9533232724675
sub02,test,1,spontaneous,2,120.0,0,8,4.5626875,323.0,34.299846353426986
sub02,test,1,spontaneous,2,120.0,0,9,5.0259583333333335,811.0,39.9532898461341
sub02,test,1,spontaneous,2,120.0,0,10,5.550291666666666,177.0,30.62097075234838
sub02,test,1,spontaneous,2,120.0,0,11,6.0296666666666665,808.0,39.31067636989668
sub02,test,1,spontaneous,2,120.0,0,12,6.562354166666666,146.0,29.293486665122785
sub02,test,1,spontaneous,2,120.0,0,13,7.035520833333333,681.0,39.00832888023433
sub02,test,1,spontaneous,2,120.0,0,14,7.5764375,207.0,29.840764081899525
sub02,test,1,spontaneous,2,120.0,0,15,8.052979166666667,674.0,37.939624818637434
sub02,test,1,spontaneous,2,120.0,0,16,8.580854166666667,183.0,28.365328947578657
sub02,test,1,spontaneous,2,120.0,0,17,9.031791666666667,515.0,36.30207380426248
sub02,test,1,spontaneous,2,120.0,0,18,9.551041666666666,439.0,34.869056834610134
sub02,test,1,spontaneous,2,120.0,0,19,10.072708333333333,544.0,34.888922248347136
sub02,test,1,spontaneous,2,120.0,0,20,10.598395833333333,268.0,31.514698732332263
sub02,test,1,spontaneous,2,120.0,0,21,11.0679375,349.0,33.48101408915676
sub02,test,1,spontaneous,2,120.0,0,22,11.547354166666667,625.0,37.15784633365003
sub02,test,1,spontaneous,2,120.0,0,23,12.05575,300.0,32.07173225126307
sub02,test,1,spontaneous,2,120.0,0,24,12.5411875,303.0,31.623224836569676
sub02,test,1,spontaneous,2,120.0,0,25,13.035270833333334,551.0,36.32662383497454
sub02,test,1,spontaneous,2,120.0,0,26,13.541,312.0,31.958266491474983
sub02,test,1,spontaneous,2,120.0,0,27,13.988916666666666,435.0,35.6668409855114
sub02,test,1,spontaneous,2,120.0,0,28,14.542104166666666,579.0,36.548524274531935
sub02,test,1,spontaneous,2,120.0,0,29,15.026479166666666,316.0,31.690293452383433
sub02,test,1,spontaneous,2,120.0,0,30,15.54875,237.0,33.929766002335775
sub02,test,1,spontaneous,2,120.0,0,31,16.03708333333333,895.0,43.75764886736544
sub02,test,1,spontaneous,2,120.0,0,32,16.552416666666666,399.0,34.27297966940656
sub02,test,1,spontaneous,2,120.0,0,33,17.043166666666668,210.0,30.26702611797011
sub02,test,1,spontaneous,2,120.0,0,34,17.533083333333334,554.0,36.73338456571471
sub02,test,1,spontaneous,2,120.0,0,35,18.025708333333334,328.0,33.05299110022033
sub02,test,1,spontaneous,2,120.0,0,36,18.53152083333333,342.0,32.72947384034897
sub02,test,1,spontaneous,2,120.0,0,37,19.026291666666665,622.0,36.85494548240734
sub02,test,1,spontaneous,2,120.0,0,38,19.5071875,133.0,29.937426147679783
sub02,test,1,spontaneous,2,120.0,0,39,20.021958333333334,534.0,36.760721367644294
sub02,test,1,spontaneous,2,120.0,0,40,20.575291666666665,832.0,39.21572758082735
sub02,test,1,spontaneous,2,120.0,0,41,21.011791666666667,183.0,28.71081757900914
sub02,test,1,spontaneous,2,120.0,0,42,21.551479166666667,242.0,30.902445777941914
