subject,trial,meter,switch_beat,tau_mean,tau_lo,tau_hi,max_rhat,converged
sub02,3,3,25.2,26.672246742361367,24.277778659764277,28.625505255922736,1.0032079283202424,True
sub02,5,2,20.8,24.250375944734902,17.331524508207334,27.200160382594277,1.0332838766146113,True
sub02,6,3,30.0,31.511852293164512,29.81374864438525,33.83297445326611,1.0036557097627008,True
sub02,10,3,22.4,22.859348064011805,20.772787010225823,25.175658864109437,1.00107918942488,True
sub02,12,2,23.333333333333332,26.29840523827372,23.931306853666893,28.725510334953288,1.00091444936187,True
sub02,14,3,27.733333333333334,29.77214097388044,27.181322324768058,32.5789838652275,1.0019465885970054,True
sub02,15,2,22.4,24.386646775112578,22.85679617231113,26.005713885862423,1.004495087261398,True
sub02,17,3,22.4,26.76815720008466,21.64244012996477,30.54968465398223,1.1875881262949413,False
sub02,19,2,26.666666666666668,29.460611542146054,27.23359634533364,31.61831335806861,1.000705975966798,True
sub02,20,2,30.0,33.07873924530079,30.253212816784327,35.542360526913974,1.0020632574246502,True
