true_r,trials_per_participant,attenuated_r,n_participants_for_80pct_power
0.3,10,0.28603877677367767,92
0.3,20,0.29277002188455997,88
0.3,30,0.2951216261027788,88
0.5,10,0.4767312946227962,32
0.5,20,0.4879500364742666,30
0.5,30,0.4918693768379647,30
0.7,10,0.6674238124719146,16
0.7,20,0.6831300510639732,14
0.7,30,0.6886171275731505,14
