condition,meter,BPM,SwitchTime,Subject,TrialNumber,switch
cued,2,120,12,sub06,1,1
spontaneous,2,112,0,sub06,2,1
spontaneous,3,100,0,sub06,3,1
cued,2,108,16,sub06,4,1
spontaneous,3,120,0,sub06,5,1
spontaneous,3,116,0,sub06,6,0
cued,2,104,14,sub06,7,1
spontaneous,2,116,0,sub06,8,1
cued,3,108,14,sub06,9,1
spontaneous,3,116,0,sub06,10,1
spontaneous,2,104,0,sub06,11,1
cued,3,116,12,sub06,12,1
cued,3,112,12,sub06,13,1
spontaneous,2,104,0,sub06,14,1
spontaneous,3,116,0,sub06,15,1
cued,3,112,14,sub06,16,1
cued,2,100,18,sub06,17,1
spontaneous,2,100,0,sub06,18,1
cued,2,120,14,sub06,19,1
cued,3,116,16,sub06,20,1
