subject,trial,meter,switch_beat,tau_mean,tau_lo,tau_hi,max_rhat,converged
sub02,3,3,25.2,26.672246742361367,24.277778659764277,28.625505255922736,1.0032079283202424,True
sub02,5,2,20.8,24.250375944734902,17.331524508207334,27.200160382594277,1.0332838766146113,True
sub02,6,3,30.0,31.511852293164512,29.81374864438525,33.83297445326611,1.0036557097627008,True
sub02,10,3,22.4,22.859348064011805,20.772787010225823,25.175658864109437,1.00107918942488,True
sub02,12,2,23.333333333333332,26.29840523827372,23.931306853666893,28.725510334953288,1.00091444936187,True
sub02,14,3,27.733333333333334,29.77214097388044,27.181322324768058,32.5789838652275,1.0019465885970054,True
sub02,15,2,22.4,24.386646775112578,22.85679617231113,26.005713885862423,1.004495087261398,True
sub02,17,3,22.4,26.76815720008466,21.64244012996477,30.54968465398223,1.1875881262949413,False
sub02,19,2,26.666666666666668,29.460611542146054,27.23359634533364,31.61831335806861,1.000705975966798,True
sub02,20,2,30.0,33.07873924530079,30.253212816784327,35.542360526913974,1.0020632574246502,True
sub04,2,3,31.2,29.49308913210998,27.84530909131466,33.601896990227466,1.0388759356359805,True
sub04,4,2,34.8,35.586611938463534,34.27779928865566,37.10830777420223,1.0032821384866566,True
sub04,5,3,31.2,33.55430187266436,31.451362874789808,34.89566271804691,1.001163624407071,True
sub04,6,2,31.2,29.962659668395155,29.38030377022655,31.553323794668536,1.0154586354621191,True
sub04,9,3,24.0,24.13428586776901,22.13523793627759,26.091289214470002,1.0018140181712247,True
sub04,10,3,32.0,32.87646448504279,30.1060998782546,35.822940392661856,1.002007442232833,True
sub04,12,2,36.0,35.9150332944182,34.67961959309308,37.827801196322525,1.0032064837359056,True
sub04,13,2,30.0,29.654683432253652,27.85429296429813,31.856789348244792,1.0007496698625469,True
sub04,16,3,31.2,30.153295078506446,27.9048958374833,32.34422667729494,1.001789345181739,True
sub04,19,2,24.266666666666666,23.812958538059128,21.10353329516284,26.850405287509012,1.0023750430575888,True
sub05,1,2,24.0,43.16887072442587,33.892448415969994,50.88049385750678,1.0027690967354255,True
sub05,2,2,30.0,32.175983961121524,31.607174424827782,32.820485252124314,1.0012816032979803,True
sub05,3,2,25.2,26.137326584514348,22.107151235354483,33.071038472039184,1.0036304690387818,True
sub05,4,3,34.8,39.63604817808966,35.63595204677528,45.7121103948241,1.0038337032118967,True
sub05,6,3,21.6,23.186024504498643,21.21629018756941,24.857739406617853,1.0025693930497586,True
sub05,10,2,27.066666666666666,28.144565111131918,26.141003066453553,30.152334131847237,1.0026705890250807,True
sub05,14,2,23.2,24.288433944420223,22.03140725921228,26.572242575750526,1.0024926475084222,True
sub05,17,3,28.0,28.887041343831402,26.74683026913376,30.893518645885774,1.0016112021294827,True
sub05,18,3,22.4,22.917871745009236,20.673726155159308,25.061297541400418,1.0021275156590417,True
sub05,19,3,33.6,34.817202580460844,32.142983573956776,36.23340187655524,1.0020468631876671,True
sub06,1,2,24.0,26.666334210458963,24.152456976934793,28.631072191377587,1.0015729772272628,True
sub06,4,2,28.8,28.758768815099813,26.762396249170774,31.06982579768049,1.0010917404664685,True
sub06,7,2,24.266666666666666,23.605612250505423,21.891807826133395,25.90594358145847,1.0030414884239296,True
sub06,9,3,25.2,38.315048389396104,25.23311715303986,42.316680289834494,1.0078523800345482,True
sub06,12,3,23.2,24.419086196369374,22.194890897359695,26.314838579831903,1.0013343974517208,True
sub06,13,3,22.4,22.646583923571033,19.632701397957778,23.905428989163106,1.0043237925691701,True
sub06,16,3,26.133333333333333,27.29945162490123,24.996848919337033,28.976019080572087,1.0036914931295804,True
sub06,17,2,30.0,30.319333212308305,27.99968186405804,32.00303987239962,1.001187131470125,True
sub06,19,2,28.0,28.160348053875982,26.27942676537447,29.794309678742103,1.0027574561688146,True
sub06,20,3,30.933333333333334,31.454833992550622,30.630396303292112,32.203927023660086,1.0022826798032178,True
sub07,3,2,27.066666666666666,29.42810695166495,22.457504666239934,47.3527510456837,1.0235313869237246,True
sub07,4,2,21.6,31.66582946568546,19.71741454957608,53.894590988222156,1.0173257613149245,True
sub07,5,3,26.133333333333333,36.574799173786246,4.541901802599244,60.83518781291649,1.0058235138998557,True
sub07,6,3,22.4,25.8755153161525,6.334627738560584,49.669633644651924,1.0076267870300577,True
sub07,11,2,29.866666666666667,24.94938844183529,1.0115174996023728,55.20216278175779,1.0059422054777993,True
sub07,12,3,33.6,33.43648469149596,15.634797499857552,48.12682463204065,1.0037727604530373,True
sub07,13,2,32.4,25.572456854151337,1.7639422002379084,53.20566871744244,1.0075206475530112,True
sub07,16,2,23.333333333333332,28.22872880158614,7.389189910845069,47.45895460812195,1.0112991549761048,True
sub07,17,3,20.0,42.30167688149276,39.95124373887922,47.64353592932156,1.00401643356075,True
sub07,18,3,26.666666666666668,21.12949721651549,4.235176439219722,43.76625157331038,1.0028482111972452,True
sub08,1,2,23.2,22.5900333048896,20.242771194375326,25.046489225476563,1.0023158541203252,True
sub08,2,3,22.4,23.13966258480052,21.41167529428016,25.03273418026466,1.0018448978480106,True
sub08,4,2,34.8,34.859432906675806,33.22989127425551,36.23909811129564,1.0044935675018638,True
sub08,5,2,27.733333333333334,27.98087915379853,25.301117036862223,30.89315483812115,1.0016491753656815,True
sub08,8,3,30.933333333333334,34.133079496526236,31.909899080110854,35.003623581732874,1.0019620416739294,True
sub08,10,3,33.6,35.16329296109148,32.76181954743923,37.3360686547363,1.0011318040692847,True
sub08,12,2,30.0,36.36441516750214,30.550769775188634,39.67322842862642,1.0044907952667088,True
sub08,15,3,22.4,25.351235450510714,20.614794319276303,41.6033717159715,1.0080766946468644,True
sub08,18,2,36.0,23.202576998918158,5.662504962478825,37.558703842290385,1.0135227713331005,True
sub08,19,3,32.4,33.109501329308436,29.467465024911654,38.81972110042281,1.0070289931063745,True
