subject,trial,meter,n_pulses,bpm,tau_mean,tau_lo,tau_hi,tau_ci_width,tau_mean_s,max_rhat,converged
sub02,1,2,60,120.0,19.322543321417296,17.549827643909023,22.515230640889442,4.965402996980419,9.661271660708648,1.0025391283172171,True
sub02,2,3,52,104.0,22.858650706794965,9.77645712856101,36.231065586807624,26.454608458246614,13.187683100074018,1.5314486240328522,False
sub02,4,3,54,108.0,20.53024196731059,18.337372384534724,22.123723988251502,3.7863516037167777,11.405689981839217,1.0013537402251753,True
sub02,7,2,57,116.0,21.669561148482835,19.98809259214138,23.59560101056086,3.607508418419478,11.208393697491122,1.003698274223911,True
sub02,8,2,54,108.0,21.24367984283864,17.557872189900117,24.7546932489124,7.196821059012283,11.80204435713258,1.0108120120057829,True
sub02,9,2,60,120.0,21.613832023879088,17.29902192440002,25.44910507114788,8.15008314674786,10.806916011939544,1.0035877375419362,True
sub02,11,3,52,104.0,31.987255888445393,29.05249975038598,34.05091259927088,4.9984128488849,18.454186089487727,1.0042969579858267,True
sub02,13,2,54,108.0,21.833411225030737,17.517995651569443,28.608508881484475,11.090513229915032,12.129672902794855,1.0049773485713105,True
sub02,16,3,50,100.0,24.730738441132065,22.818398523876667,28.110241751330392,5.291843227453725,14.838443064679238,1.0032283745763848,True
sub02,18,3,50,100.0,24.19402991321613,20.72211853156108,26.98987611626092,6.26775758469984,14.516417947929678,1.0051582605609446,True
sub04,1,3,57,116.0,52.209519710912254,51.801251800224996,53.08934925515405,1.2880974549290514,27.00492398840289,1.0163328802077112,True
sub04,3,3,60,120.0,14.105341296281585,11.425464017414173,15.972285424121413,4.54682140670724,7.052670648140793,1.0025127696404197,True
sub04,7,2,56,112.0,16.1210271145335,13.693521737577209,19.083693835052827,5.390172097475618,8.636264525642947,1.001855519627935,True
sub04,8,2,57,116.0,25.01799463680196,23.097892537631513,27.393337192050797,4.295444654419285,12.940342053518254,1.0034930614455353,True
sub04,11,3,53,120.0,21.807740275552415,10.38803908521597,42.70839324173886,32.32035415652289,10.903870137776208,1.0024128478351046,True
sub04,14,3,57,116.0,15.418558647490068,13.275289029795417,17.234500480332244,3.959211450536827,7.975116541805208,1.0014331271603247,True
sub04,15,2,52,104.0,20.07404579497718,17.984479730264123,22.46700046141936,4.482520731155237,11.58118026633299,1.0022934394338208,True
sub04,17,3,52,104.0,17.9879910796464,15.851496273922773,20.434153325377007,4.582657051454234,10.37768716133446,1.003547107011492,True
