condition,meter,BPM,SwitchTime,Subject,TrialNumber,switch
cued,2,120,12,sub05,1,1
cued,2,100,18,sub05,2,1
cued,2,108,14,sub05,3,1
cued,3,116,18,sub05,4,1
spontaneous,3,120,0,sub05,5,1
cued,3,108,12,sub05,6,1
spontaneous,3,104,0,sub05,7,1
spontaneous,2,116,0,sub05,8,1
spontaneous,3,112,0,sub05,9,1
cued,2,116,14,sub05,10,1
spontaneous,2,104,0,sub05,11,1
spontaneous,2,116,0,sub05,12,1
spontaneous,3,112,0,sub05,13,1
cued,2,116,12,sub05,14,1
spontaneous,2,108,0,sub05,15,1
spontaneous,2,112,0,sub05,16,1
cued,3,120,14,sub05,17,1
cued,3,112,12,sub05,18,1
cued,3,112,18,sub05,19,1
spontaneous,3,108,0,sub05,20,1
