condition,meter,BPM,SwitchTime,Subject,TrialNumber,switch
spontaneous,2,104,0,sub07,1,1
spontaneous,2,112,0,sub07,2,1
cued,2,116,14,sub07,3,1
cued,2,108,12,sub07,4,1
cued,3,112,14,sub07,5,1
cued,3,112,12,sub07,6,1
spontaneous,2,120,0,sub07,7,1
spontaneous,3,108,0,sub07,8,1
spontaneous,3,108,0,sub07,9,0
spontaneous,3,104,0,sub07,10,1
cued,2,112,16,sub07,11,1
cued,3,112,18,sub07,12,1
cued,2,108,18,sub07,13,1
spontaneous,2,104,0,sub07,14,1
spontaneous,3,104,0,sub07,15,1
cued,2,100,14,sub07,16,1
cued,3,100,12,sub07,17,1
cued,3,100,16,sub07,18,1
spontaneous,2,108,0,sub07,19,1
spontaneous,3,116,0,sub07,20,1
