subject,phase,trial,condition,meter,bpm,switch_time,click_idx,click_time_s
sub01,test,1,spontaneous,3,120.0,0,0,0.0244375
sub01,test,1,spontaneous,3,120.0,0,1,0.5244375
sub01,test,1,spontaneous,3,120.0,0,2,1.0244375
sub01,test,1,spontaneous,3,120.0,0,3,1.5244375
sub01,test,1,spontaneous,3,120.0,0,4,2.0244375
sub01,test,1,spontaneous,3,120.0,0,5,2.5244375
sub01,test,1,spontaneous,3,120.0,0,6,3.0244375
sub01,test,1,spontaneous,3,120.0,0,7,3.5244375
sub01,test,1,spontaneous,3,120.0,0,8,4.0244375
sub01,test,1,spontaneous,3,120.0,0,9,4.5244375
sub01,test,1,spontaneous,3,120.0,0,10,5.0244375
sub01,test,1,spontaneous,3,120.0,0,11,5.5244375
sub01,test,1,spontaneous,3,120.0,0,12,6.0244375
sub01,test,1,spontaneous,3,120.0,0,13,6.5244375
sub01,test,1,spontaneous,3,120.0,0,14,7.0244375
sub01,test,1,spontaneous,3,120.0,0,15,7.5244375
sub01,test,1,spontaneous,3,120.0,0,16,8.0244375
sub01,test,1,spontaneous,3,120.0,0,17,8.5244375
sub01,test,1,spontaneous,3,120.0,0,18,9.0244375
sub01,test,1,spontaneous,3,120.0,0,19,9.5244375
sub01,test,1,spontaneous,3,120.0,0,20,10.0244375
sub01,test,1,spontaneous,3,120.0,0,21,10.5244375
sub01,test,1,spontaneous,3,120.0,0,22,11.0244375
sub01,test,1,spontaneous,3,120.0,0,23,11.5244375
sub01,test,1,spontaneous,3,120.0,0,24,12.0244375
sub01,test,1,spontaneous,3,120.0,0,25,12.5244375
sub01,test,1,spontaneous,3,120.0,0,26,13.0244375
sub01,test,1,spontaneous,3,120.0,0,27,13.5244375
sub01,test,1,spontaneous,3,120.0,0,28,14.0244375
sub01,test,1,spontaneous,3,120.0,0,29,14.5244375
sub01,test,1,spontaneous,3,120.0,0,30,15.0244375
sub01,test,1,spontaneous,3,120.0,0,31,15.5244375
sub01,test,1,spontaneous,3,120.0,0,32,16.0244375
sub01,test,1,spontaneous,3,120.0,0,33,16.5244375
sub01,test,1,spontaneous,3,120.0,0,34,17.0244375
sub01,test,1,spontaneous,3,120.0,0,35,17.5244375
sub01,test,1,spontaneous,3,120.0,0,36,18.0244375
sub01,test,1,spontaneous,3,120.0,0,37,18.5244375
sub01,test,1,spontaneous,3,120.0,0,38,19.0244375
sub01,test,1,spontaneous,3,120.0,0,39,19.5244375
sub01,test,1,spontaneous,3,120.0,0,40,20.0244375
sub01,test,1,spontaneous,3,120.0,0,41,20.5244375
sub01,test,1,spontaneous,3,120.0,0,42,21.0244375
sub01,test,1,spontaneous,3,120.0,0,43,21.5244375
sub01,test,1,spontaneous,3,120.0,0,44,22.0244375
sub01,test,1,spontaneous,3,120.0,0,45,22.5244375
sub01,test,1,spontaneous,3,120.0,0,46,23.0244375
sub01,test,1,spontaneous,3,120.0,0,47,23.5244375
sub01,test,1,spontaneous,3,120.0,0,48,24.0244375
sub01,test,1,spontaneous,3,120.0,0,49,24.5244375
sub01,test,1,spontaneous,3,120.0,0,50,25.0244375
sub01,test,1,spontaneous,3,120.0,0,51,25.5244375
sub01,test,1,spontaneous,3,120.0,0,52,26.0244375
sub01,test,1,spontaneous,3,120.0,0,53,26.5244375
sub01,test,1,spontaneous,3,120.0,0,54,27.0244375
sub01,test,1,spontaneous,3,120.0,0,55,27.5244375
sub01,test,1,spontaneous,3,120.0,0,56,28.0244375
sub01,test,1,spontaneous,3,120.0,0,57,28.5244375
sub01,test,1,spontaneous,3,120.0,0,58,29.0244375
sub01,test,1,spontaneous,3,120.0,0,59,29.5244375
sub01,test,2,cued,3,104.0,14,0,0.0244375
sub01,test,2,cued,3,104.0,14,1,0.6013541666666666
sub01,test,2,cued,3,104.0,14,2,1.1782708333333334
sub01,test,2,cued,3,104.0,14,3,1.7551875
sub01,test,2,cued,3,104.0,14,4,2.332104166666667
sub01,test,2,cued,3,104.0,14,5,2.9090208333333334
sub01,test,2,cued,3,104.0,14,6,3.4859375
sub01,test,2,cued,3,104.0,14,7,4.062854166666667
sub01,test,2,cued,3,104.0,14,8,4.639770833333333
sub01,test,2,cued,3,104.0,14,9,5.2166875
sub01,test,2,cued,3,104.0,14,10,5.793604166666666
sub01,test,2,cued,3,104.0,14,11,6.370520833333333
sub01,test,2,cued,3,104.0,14,12,6.9474375
sub01,test,2,cued,3,104.0,14,13,7.524354166666667
sub01,test,2,cued,3,104.0,14,14,8.101270833333333
sub01,test,2,cued,3,104.0,14,15,8.6781875
sub01,test,2,cued,3,104.0,14,16,9.255104166666667
sub01,test,2,cued,3,104.0,14,17,9.832020833333333
sub01,test,2,cued,3,104.0,14,18,10.4089375
sub01,test,2,cued,3,104.0,14,19,10.985854166666666
sub01,test,2,cued,3,104.0,14,20,11.562770833333333
sub01,test,2,cued,3,104.0,14,21,12.1396875
sub01,test,2,cued,3,104.0,14,22,12.716604166666666
sub01,test,2,cued,3,104.0,14,23,13.293520833333334
sub01,test,2,cued,3,104.0,14,24,13.8704375
sub01,test,2,cued,3,104.0,14,25,14.447354166666667
sub01,test,2,cued,3,104.0,14,26,15.024270833333333
sub01,test,2,cued,3,104.0,14,27,15.6011875
sub01,test,2,cued,3,104.0,14,28,16.178104166666667
sub01,test,2,cued,3,104.0,14,29,16.755020833333333
sub01,test,2,cued,3,104.0,14,30,17.3319375
sub01,test,2,cued,3,104.0,14,31,17.908854166666668
sub01,test,2,cued,3,104.0,14,32,18.485770833333333
sub01,test,2,cued,3,104.0,14,33,19.0626875
sub01,test,2,cued,3,104.0,14,34,19.63960416666667
sub01,test,2,cued,3,104.0,14,35,20.216520833333334
sub01,test,2,cued,3,104.0,14,36,20.7934375
sub01,test,2,cued,3,104.0,14,37,21.370354166666665
sub01,test,2,cued,3,104.0,14,38,21.947270833333334
sub01,test,2,cued,3,104.0,14,39,22.5241875
sub01,test,2,cued,3,104.0,14,40,23.101104166666666
sub01,test,2,cued,3,104.0,14,41,23.678020833333335
sub01,test,2,cued,3,104.0,14,42,24.2549375
sub01,test,2,cued,3,104.0,14,43,24.831854166666666
sub01,test,2,cued,3,104.0,14,44,25.40877083333333
sub01,test,2,cued,3,104.0,14,45,25.9856875
sub01,test,2,cued,3,104.0,14,46,26.562604166666667
sub01,test,2,cued,3,104.0,14,47,27.139520833333332
sub01,test,2,cued,3,104.0,14,48,27.7164375
sub01,test,2,cued,3,104.0,14,49,28.293354166666667
sub01,test,2,cued,3,104.0,14,50,28.870270833333333
sub01,test,2,cued,3,104.0,14,51,29.4471875
sub01,test,3,cued,2,108.0,16,0,0.0244375
sub01,test,3,cued,2,108.0,16,1,0.58
sub01,test,3,cued,2,108.0,16,2,1.1355625
sub01,test,3,cued,2,108.0,16,3,1.691125
