condition,meter,BPM,SwitchTime,Subject,TrialNumber
spontaneous,3,120,0,sub01,1
cued,3,104,14,sub01,2
cued,2,108,16,sub01,3
spontaneous,2,116,0,sub01,4
spontaneous,3,108,0,sub01,5
spontaneous,2,112,0,sub01,6
cued,3,112,12,sub01,7
spontaneous,3,112,0,sub01,8
spontaneous,3,100,0,sub01,9
cued,2,112,16,sub01,10
spontaneous,2,104,0,sub01,11
spontaneous,2,120,0,sub01,12
cued,2,100,14,sub01,13
cued,3,104,12,sub01,14
spontaneous,3,104,0,sub01,15
cued,3,112,16,sub01,16
spontaneous,2,112,0,sub01,17
cued,3,112,18,sub01,18
cued,2,100,18,sub01,19
cued,2,116,12,sub01,20
