subject,trial,meter,n_pulses,bpm,tau_mean,tau_lo,tau_hi,tau_ci_width,tau_mean_s,max_rhat,converged
sub05,5,3,60,120.0,28.983869253465148,28.16710733995301,29.828844177198878,1.6617368372458685,14.491934626732574,1.0025512083788544,True
sub05,7,3,52,104.0,22.06724184769993,19.95313670256119,23.886744467236735,3.9336077646755463,12.731101065980729,1.0019063460279642,True
sub05,8,2,57,116.0,19.95465658319553,18.438301017731444,21.24144089572,2.8031398779885563,10.321374094756308,1.003282844225136,True
sub05,9,3,56,112.0,23.211044445045168,21.456729968833734,24.93361721729685,3.4768872484631146,12.434488095559912,1.0023841699431595,True
sub05,11,2,52,104.0,20.94590821999447,12.343476185428425,24.497788288272492,12.154312102844067,12.08417781922758,1.0046672154067509,True
sub05,12,2,57,116.0,24.675709115551204,22.567545718053637,27.440049465845366,4.872503747791729,12.763297818388553,1.002190776965653,True
sub05,13,3,56,112.0,25.366700711267097,23.097660381965063,28.017637955720986,4.919977573755922,13.589303952464517,1.0009513879789902,True
sub05,15,2,54,108.0,16.878224592560528,10.011507229909789,22.066334948516605,12.054827718606816,9.376791440311406,1.0081276888359112,True
sub05,16,2,56,112.0,13.716114522808784,12.136678170194507,15.782046817891121,3.645368647696614,7.347918494361848,1.002705217346321,True
sub05,20,3,54,108.0,20.220960376931536,17.75814902492612,22.324183218040712,4.566034193114593,11.233866876073076,1.001698790738675,True
