subject,phase,trial,condition,meter,bpm,switch_time,tap_idx,tap_time_s,peak_amp,rms_db
sub05,test,2,cued,2,100.0,18,23,16.360291666666665,468.0,40.79877343487361
sub05,test,2,cued,2,100.0,18,24,16.989708333333333,1011.0,42.953969374176395
sub05,test,2,cued,2,100.0,18,25,17.568895833333332,340.0,34.37163269568613
sub05,test,2,cued,2,100.0,18,26,18.1546875,1357.0,46.357572031174726
sub05,test,2,cued,2,100.0,18,27,18.807875,230.0,30.02782015619652
sub05,test,2,cued,2,100.0,18,28,19.4409375,1562.0,46.52836793805777
sub05,test,2,cued,2,100.0,18,29,19.895895833333334,235.0,35.40987440538948
sub05,test,2,cued,2,100.0,18,30,20.487166666666667,517.0,41.90874479896016
sub05,test,2,cued,2,100.0,18,31,21.189458333333334,1923.0,48.29530364492811
sub05,test,2,cued,2,100.0,18,32,21.744291666666665,316.0,37.69191303651475
sub05,test,2,cued,2,100.0,18,33,22.327708333333334,477.0,41.246514417578226
sub05,test,2,cued,2,100.0,18,34,22.9429375,844.0,41.150436084722124
sub05,test,2,cued,2,100.0,18,35,23.58025,665.0,38.702499922171896
sub05,test,2,cued,2,100.0,18,36,24.167604166666667,641.0,43.6979420923638
sub05,test,2,cued,2,100.0,18,37,24.745479166666666,1014.0,42.61354576551036
sub05,test,2,cued,2,100.0,18,38,25.361083333333333,416.0,34.92470529923229
sub05,test,2,cued,2,100.0,18,39,25.9490625,671.0,44.06175998646988
sub05,test,2,cued,2,100.0,18,40,26.531229166666666,856.0,42.07123396196539
sub05,test,2,cued,2,100.0,18,41,27.137479166666665,566.0,38.17477774701019
sub05,test,2,cued,2,100.0,18,42,27.732125,541.0,41.69540818653911
sub05,test,2,cued,2,100.0,18,43,28.343833333333333,897.0,41.55270124817089
sub05,test,2,cued,2,100.0,18,44,28.963729166666667,710.0,41.120859555128476
sub05,test,2,cued,2,100.0,18,45,29.543020833333333,874.0,44.185935313593596
sub05,test,3,cued,2,108.0,14,0,1.3255208333333333,1108.0,47.646255231205984
sub05,test,3,cued,2,108.0,14,1,1.8495,1112.0,43.08376139949015
sub05,test,3,cued,2,108.0,14,2,2.422645833333333,907.0,43.732553386422346
sub05,test,3,cued,2,108.0,14,3,2.9577916666666666,1141.0,43.05027827374764
sub05,test,3,cued,2,108.0,14,4,3.5557708333333333,912.0,46.22064546564047
sub05,test,3,cued,2,108.0,14,5,4.098604166666667,915.0,41.15036249638146
sub05,test,3,cued,2,108.0,14,6,4.639145833333333,795.0,45.02639056170957
sub05,test,3,cued,2,108.0,14,7,5.175125,1248.0,44.013436771305834
sub05,test,3,cued,2,108.0,14,8,5.779770833333333,471.0,35.27013837734358
sub05,test,3,cued,2,108.0,14,9,6.299458333333333,1204.0,45.02393127751334
sub05,test,3,cued,2,108.0,14,10,6.859416666666666,471.0,41.3070220397228
sub05,test,3,cued,2,108.0,14,11,7.359,359.0,34.2964497125382
sub05,test,3,cued,2,108.0,14,12,7.957104166666666,581.0,43.03054735675546
sub05,test,3,cued,2,108.0,14,13,8.482645833333333,1067.0,45.914072134083
sub05,test,3,cued,2,108.0,14,14,9.0903125,499.0,40.75380368792545
sub05,test,3,cued,2,108.0,14,15,9.6354375,421.0,40.13786615351507
sub05,test,3,cued,2,108.0,14,16,10.227854166666667,308.0,38.460083712386776
sub05,test,3,cued,2,108.0,14,17,10.706145833333334,758.0,37.771537416667755
sub05,test,3,cued,2,108.0,14,18,11.297375,1094.0,43.88372008205871
sub05,test,3,cued,2,108.0,14,19,11.8646875,420.0,39.75911284668307
sub05,test,3,cued,2,108.0,14,20,12.427270833333333,369.0,39.853108426932
sub05,test,3,cued,2,108.0,14,21,12.980645833333334,636.0,40.58670314927498
sub05,test,3,cued,2,108.0,14,22,13.521270833333332,420.0,40.85313203340406
sub05,test,3,cued,2,108.0,14,23,14.026625,867.0,42.65408806025518
sub05,test,3,cued,2,108.0,14,24,14.628208333333333,205.0,33.7017602748705
sub05,test,3,cued,2,108.0,14,25,15.22275,599.0,39.37928714412352
sub05,test,3,cued,2,108.0,14,26,15.761208333333334,1043.0,45.512620883653014
sub05,test,3,cued,2,108.0,14,27,16.26514583333333,482.0,41.18439536971613
sub05,test,3,cued,2,108.0,14,28,16.890979166666668,511.0,37.88910913190267
sub05,test,3,cued,2,108.0,14,29,17.45360416666667,987.0,44.88868653825381
sub05,test,3,cued,2,108.0,14,30,17.961875,548.0,37.59456048268221
sub05,test,3,cued,2,108.0,14,31,18.533895833333332,361.0,39.237099786901865
sub05,test,3,cued,2,108.0,14,32,19.105,1375.0,46.31582529128917
sub05,test,3,cued,2,108.0,14,33,19.616458333333334,210.0,34.28945637936903
sub05,test,3,cued,2,108.0,14,34,20.153708333333334,346.0,38.604551338079
