subject,phase,trial,condition,meter,bpm,switch_time,click_idx,click_time_s
sub05,test,1,cued,2,120.0,12,0,0.2188125
sub05,test,1,cued,2,120.0,12,1,0.7176666666666667
sub05,test,1,cued,2,120.0,12,2,0.9676666666666667
sub05,test,1,cued,2,120.0,12,3,1.2176666666666667
sub05,test,1,cued,2,120.0,12,4,1.7176666666666667
sub05,test,1,cued,2,120.0,12,5,2.2176666666666667
sub05,test,1,cued,2,120.0,12,6,2.7176666666666667
sub05,test,1,cued,2,120.0,12,7,3.2176666666666667
sub05,test,1,cued,2,120.0,12,8,3.4676666666666667
sub05,test,1,cued,2,120.0,12,9,3.7176666666666667
sub05,test,1,cued,2,120.0,12,10,4.217666666666666
sub05,test,1,cued,2,120.0,12,11,4.717666666666666
sub05,test,1,cued,2,120.0,12,12,5.217666666666666
sub05,test,1,cued,2,120.0,12,13,5.717666666666666
sub05,test,1,cued,2,120.0,12,14,6.217666666666666
sub05,test,1,cued,2,120.0,12,15,6.717666666666666
sub05,test,1,cued,2,120.0,12,16,6.967666666666666
sub05,test,1,cued,2,120.0,12,17,7.217666666666666
sub05,test,1,cued,2,120.0,12,18,7.467666666666666
sub05,test,1,cued,2,120.0,12,19,7.717666666666666
sub05,test,1,cued,2,120.0,12,20,8.217666666666666
sub05,test,1,cued,2,120.0,12,21,8.467666666666666
sub05,test,1,cued,2,120.0,12,22,8.717666666666666
sub05,test,1,cued,2,120.0,12,23,9.217666666666666
sub05,test,1,cued,2,120.0,12,24,9.468583333333333
sub05,test,1,cued,2,120.0,12,25,9.718791666666666
sub05,test,1,cued,2,120.0,12,26,10.217666666666666
sub05,test,1,cued,2,120.0,12,27,10.717666666666666
sub05,test,1,cued,2,120.0,12,28,10.967666666666666
sub05,test,1,cued,2,120.0,12,29,11.217666666666666
sub05,test,1,cued,2,120.0,12,30,11.717666666666666
sub05,test,1,cued,2,120.0,12,31,12.217666666666666
sub05,test,1,cued,2,120.0,12,32,12.717666666666666
sub05,test,1,cued,2,120.0,12,33,13.217666666666666
sub05,test,1,cued,2,120.0,12,34,13.467666666666666
sub05,test,1,cued,2,120.0,12,35,13.717666666666666
sub05,test,1,cued,2,120.0,12,36,13.967666666666666
sub05,test,1,cued,2,120.0,12,37,14.217666666666666
sub05,test,1,cued,2,120.0,12,38,14.717666666666666
sub05,test,1,cued,2,120.0,12,39,14.967666666666666
sub05,test,1,cued,2,120.0,12,40,15.217666666666666
sub05,test,1,cued,2,120.0,12,41,15.717666666666666
sub05,test,1,cued,2,120.0,12,42,16.217666666666666
sub05,test,1,cued,2,120.0,12,43,16.717666666666666
sub05,test,1,cued,2,120.0,12,44,17.217666666666666
sub05,test,1,cued,2,120.0,12,45,17.467666666666666
sub05,test,1,cued,2,120.0,12,46,17.717666666666666
sub05,test,1,cued,2,120.0,12,47,18.217666666666666
sub05,test,1,cued,2,120.0,12,48,18.717666666666666
sub05,test,1,cued,2,120.0,12,49,19.217666666666666
sub05,test,1,cued,2,120.0,12,50,19.717666666666666
sub05,test,1,cued,2,120.0,12,51,20.217666666666666
sub05,test,1,cued,2,120.0,12,52,20.717666666666666
sub05,test,1,cued,2,120.0,12,53,20.967666666666666
sub05,test,1,cued,2,120.0,12,54,21.217666666666666
sub05,test,1,cued,2,120.0,12,55,21.717666666666666
sub05,test,1,cued,2,120.0,12,56,22.217666666666666
sub05,test,1,cued,2,120.0,12,57,22.468708333333332
