subject,trial,meter,switch_beat,tau_mean,tau_lo,tau_hi,max_rhat,converged
sub05,1,2,24.0,43.16887072442587,33.892448415969994,50.88049385750678,1.0027690967354255,True
sub05,2,2,30.0,32.175983961121524,31.607174424827782,32.820485252124314,1.0012816032979803,True
sub05,3,2,25.2,26.137326584514348,22.107151235354483,33.071038472039184,1.0036304690387818,True
sub05,4,3,34.8,39.63604817808966,35.63595204677528,45.7121103948241,1.0038337032118967,True
sub05,6,3,21.6,23.186024504498643,21.21629018756941,24.857739406617853,1.0025693930497586,True
sub05,10,2,27.066666666666666,28.144565111131918,26.141003066453553,30.152334131847237,1.0026705890250807,True
sub05,14,2,23.2,24.288433944420223,22.03140725921228,26.572242575750526,1.0024926475084222,True
sub05,17,3,28.0,28.887041343831402,26.74683026913376,30.893518645885774,1.0016112021294827,True
sub05,18,3,22.4,22.917871745009236,20.673726155159308,25.061297541400418,1.0021275156590417,True
sub05,19,3,33.6,34.817202580460844,32.142983573956776,36.23340187655524,1.0020468631876671,True
