subject,phase,trial,condition,n_clicks,expected_n_clicks,click_ioi_std_ms,click_flagged,n_taps,snr_ratio,bleed_frac,bleed_flagged,low_confidence_trial,duration_diff_ms
sub06,test,1,cued,60,59,0.5152026140478484,False,59,,0.15254237288135594,False,True,0.0
sub06,test,2,spontaneous,56,55,0.26520940926413045,False,55,,0.07272727272727272,False,True,0.0
sub06,test,3,spontaneous,50,49,0.36527528246172347,False,50,,0.18,False,True,0.0
sub06,test,4,cued,54,53,0.15590040892336607,False,54,,0.16666666666666666,False,True,0.0
sub06,test,5,spontaneous,60,59,0.4903177436662281,False,58,,0.27586206896551724,False,True,0.0
sub06,test,6,spontaneous,57,57,0.4004269075599844,False,58,,0.13793103448275862,False,True,0.0
sub06,test,7,cued,52,52,0.35679798575650823,False,52,,0.09615384615384616,False,True,0.0
sub06,test,8,spontaneous,57,57,0.26441839251569477,False,57,,0.10526315789473684,False,True,0.0
sub06,test,9,cued,54,54,0.5639171274230756,False,54,,0.05555555555555555,False,True,0.0
sub06,test,10,spontaneous,57,57,0.45705468069126054,False,58,,0.1896551724137931,False,True,0.0
sub06,test,11,spontaneous,52,51,0.2753492213673609,False,52,,0.019230769230769232,False,True,0.0
sub06,test,12,cued,57,57,0.4579944006165893,False,57,,0.10526315789473684,False,True,0.0
sub06,test,13,cued,56,56,0.5944356210137239,False,56,,0.14285714285714285,False,True,0.0
sub06,test,14,spontaneous,52,51,0.3528508606605626,False,52,,0.019230769230769232,False,True,0.0
sub06,test,15,spontaneous,57,57,0.26441839251569665,False,58,,0.08620689655172414,False,True,0.0
sub06,test,16,cued,56,55,0.5543744044029182,False,56,,0.05357142857142857,False,True,0.0
sub06,test,17,cued,50,50,0.1590658904910316,False,50,,0.1,False,True,0.0
sub06,test,18,spontaneous,50,49,0.23149329146002998,False,50,,0.08,False,True,0.0
sub06,test,19,cued,60,59,0.3942012966664076,False,60,,0.13333333333333333,False,True,0.0
sub06,test,20,cued,57,57,0.3728027559466177,False,58,,0.1206896551724138,False,True,0.0
