comparison,parameter,cued_mean,spontaneous_mean,diff_mean,hdi_94_lo,hdi_94_hi,credible,2_mean,3_mean
cued - spontaneous,tau,28.16509519156252,22.3503409316157,5.814754259946823,4.323589841672039,6.9368502522762725,True,,
cued - spontaneous,s,0.1662725105743494,0.1632029211657445,0.003069589408604891,-0.05170553107080997,0.06139595555275579,False,,
cued - spontaneous,sigma_sw,0.4718548196514851,0.4548450174862724,0.01700980216521274,-0.23127971083533388,0.269178211025224,False,,
cued - spontaneous,sigma_0,0.38314829154052754,0.43218041356615733,-0.04903212202562969,-0.08678022057409857,-0.013500116906772386,True,,
2 - 3,tau,,,-7.254718090319629,-8.543286475746495,-6.0698266041585,True,21.62392033456604,28.878638424885665
2 - 3,s,,,-0.004890809524643628,-0.06537673746631951,0.04893926685163752,False,0.16236527628860814,0.16725608581325177
2 - 3,sigma_sw,,,-0.06515881574140628,-0.3137969056148942,0.18401573641421887,False,0.4336700383976905,0.49882885413909683
2 - 3,sigma_0,,,0.07312434075061618,0.03676855385327377,0.10927455883193227,True,0.44433553027106654,0.3712111895204504
