trial,meter,n_pulses,bpm,tau_mean,tau_lo,tau_hi,tau_ci_width,tau_mean_s,max_rhat,converged
2,2,56,112.0,12.709982054594757,10.826954023969567,15.041460733582092,4.214506709612525,6.80891895781862,1.0022593537447453,True
3,3,50,100.0,15.220644729665596,13.28194361118918,17.187916905337026,3.905973294147847,9.132386837799357,1.0017514863802157,True
5,3,60,120.0,17.26567190254951,14.965335187197525,18.981969165540235,4.0166339783427105,8.632835951274755,1.0014808931334482,True
6,3,57,116.0,60.271694561212456,54.48163022620578,72.80668011611337,18.32504988990759,31.175014428213338,1.001627596149949,True
8,2,57,116.0,19.306960370077483,17.841386874980536,21.79541126464702,3.9540243896664826,9.986358812109042,1.0075937661677132,True
10,3,57,116.0,21.38841451171502,19.291436792613645,22.92018692864665,3.6287501360330054,11.062973023300872,1.002100175188042,True
11,2,52,104.0,15.387620894006956,14.07732028973328,17.603810818316997,3.526490528583718,8.87747359269632,1.003811066747176,True
14,2,52,104.0,15.453418604961339,14.062345864654267,17.836376681663864,3.7740308170095975,8.91543381055462,1.0070121831134873,True
15,3,57,116.0,30.975353440491457,30.56201200232503,31.398407164855065,0.8363951625300352,16.021734538185235,1.0024268945703803,True
18,2,50,100.0,15.608288792869182,14.097709037217477,17.95725907007357,3.8595500328560917,9.364973275721509,1.004685044823909,True
