subject,phase,trial,condition,meter,bpm,switch_time,tap_idx,tap_time_s,peak_amp,rms_db
sub08,test,1,cued,2,116.0,12,0,0.6873541666666667,408.0,37.310857810769974
sub08,test,1,cued,2,116.0,12,1,1.2087083333333333,222.0,29.986165009569113
sub08,test,1,cued,2,116.0,12,2,1.6927083333333333,9160.0,59.55698999968647
sub08,test,1,cued,2,116.0,12,3,2.287,200.0,28.527848686805477
sub08,test,1,cued,2,116.0,12,4,2.7835625,609.0,41.40921129848728
sub08,test,1,cued,2,116.0,12,5,3.7962708333333333,2288.0,48.908972712484335
sub08,test,1,cued,2,116.0,12,6,4.818770833333334,2150.0,48.603335720855405
sub08,test,1,cued,2,116.0,12,7,5.8614375,3996.0,54.106730569683705
sub08,test,1,cued,2,116.0,12,8,6.4054166666666665,70.0,13.188600861829014
sub08,test,1,cued,2,116.0,12,9,6.9314375,1619.0,36.845384879080335
sub08,test,1,cued,2,116.0,12,10,7.930083333333333,5365.0,56.81459063229688
sub08,test,1,cued,2,116.0,12,11,8.462708333333333,243.0,28.070099758913976
sub08,test,1,cued,2,116.0,12,12,8.968041666666666,6884.0,60.51055383232183
sub08,test,1,cued,2,116.0,12,13,9.482666666666667,193.0,29.83302963915234
sub08,test,1,cued,2,116.0,12,14,10.029666666666667,5889.0,59.38454410008117
sub08,test,1,cued,2,116.0,12,15,10.555208333333333,465.0,39.440351237931594
sub08,test,1,cued,2,116.0,12,16,11.043645833333333,2689.0,49.77590760069362
sub08,test,1,cued,2,116.0,12,17,11.5590625,299.0,35.130446582624856
sub08,test,1,cued,2,116.0,12,18,12.0679375,6207.0,59.41785810766188
sub08,test,1,cued,2,116.0,12,19,12.6901875,275.0,39.91655910466443
sub08,test,1,cued,2,116.0,12,20,13.0675625,728.0,37.48851778968517
sub08,test,1,cued,2,116.0,12,21,13.604270833333333,13888.0,62.97518262081057
sub08,test,1,cued,2,116.0,12,22,14.161416666666666,2307.0,49.7515486707003
sub08,test,1,cued,2,116.0,12,23,14.699604166666667,373.0,38.1051889059209
sub08,test,1,cued,2,116.0,12,24,15.178354166666667,7840.0,60.58308869151044
sub08,test,1,cued,2,116.0,12,25,15.736166666666668,341.0,33.888241028793125
sub08,test,1,cued,2,116.0,12,26,16.202041666666666,2063.0,49.240618186936096
sub08,test,1,cued,2,116.0,12,27,16.701375,5547.0,54.98704940199342
sub08,test,1,cued,2,116.0,12,28,17.2175625,1521.0,42.351187881272956
sub08,test,1,cued,2,116.0,12,29,17.741833333333332,1455.0,43.50772205083339
sub08,test,1,cued,2,116.0,12,30,18.281791666666667,9540.0,63.20473293093418
sub08,test,1,cued,2,116.0,12,31,18.830583333333333,299.0,39.02648607045873
sub08,test,1,cued,2,116.0,12,32,19.326541666666667,2299.0,51.474358566229725
sub08,test,1,cued,2,116.0,12,33,19.804916666666667,8463.0,62.032306160190046
sub08,test,1,cued,2,116.0,12,34,20.362666666666666,322.0,34.02954553499141
sub08,test,1,cued,2,116.0,12,35,20.877708333333334,748.0,33.487417507765215
sub08,test,1,cued,2,116.0,12,36,21.384875,7543.0,61.14954460994057
sub08,test,1,cued,2,116.0,12,37,21.926875,486.0,38.60007500883271
sub08,test,1,cued,2,116.0,12,38,22.448,287.0,30.242746721157182
