subject,phase,trial,condition,n_clicks,expected_n_clicks,click_ioi_std_ms,click_flagged,n_taps,snr_ratio,bleed_frac,bleed_flagged,low_confidence_trial,duration_diff_ms
sub08,test,1,cued,57,57,0.5463250393087014,False,52,4104.325704546833,0.21153846153846154,False,False,0.0
sub08,test,2,cued,56,56,0.40721264945137015,False,55,5038.046851994293,0.05454545454545454,False,False,0.0
sub08,test,3,spontaneous,52,52,0.2769957272574213,False,50,4287.183173262537,0.08,False,False,0.0
sub08,test,4,cued,57,58,0.45889932368351355,False,57,3883.3560091373133,0.10526315789473684,False,False,0.0
sub08,test,5,cued,52,52,0.32089751925650023,False,50,2897.780082563026,0.18,False,False,0.0
sub08,test,6,spontaneous,56,55,0.4630439743933842,False,54,2861.0589996004733,0.16666666666666666,False,False,0.0
sub08,test,7,spontaneous,54,53,0.46885246200282354,False,52,4778.761601819163,0.21153846153846154,False,False,0.0
sub08,test,8,cued,57,58,0.34177124995059105,False,50,1946.9671269038463,0.14,False,False,0.0
sub08,test,9,spontaneous,50,49,0.2825542213214232,False,48,1841.5376962439368,0.14583333333333334,False,False,0.0
sub08,test,10,cued,56,55,0.15309310892394098,False,51,1822.7145624632753,0.13725490196078433,False,False,0.0
sub08,test,11,spontaneous,57,57,0.4045962039920726,False,51,3693.895411646298,0.0784313725490196,False,False,0.0
sub08,test,12,cued,50,49,0.36397835855942945,False,46,4154.068634789764,0.10869565217391304,False,False,0.0
sub08,test,13,spontaneous,54,53,0.41585932523244024,False,38,1499.1316686208681,0.34210526315789475,True,True,0.0
sub08,test,14,spontaneous,60,59,0.3329991352300255,False,33,704.984218657898,0.12121212121212122,False,True,0.0
sub08,test,15,cued,56,55,0.40509482049308265,False,28,827.9746739140943,0.03571428571428571,False,True,0.0
sub08,test,16,spontaneous,45,49,96.28401264104883,True,15,305.61232107274765,0.2,False,True,0.0
sub08,test,17,spontaneous,50,49,0.2825542213214206,False,36,310.62766190245594,0.0,False,True,0.0
sub08,test,18,cued,60,59,0.39216191354680496,False,28,310.49047720325353,0.17857142857142858,False,True,0.0
sub08,test,19,cued,54,53,0.2701366997963457,False,33,1034.7977872035065,0.12121212121212122,False,True,0.0
sub08,test,20,spontaneous,50,50,0.15906589049102507,False,23,1143.618717774362,0.2608695652173913,False,True,0.0
