subject,phase,trial,condition,meter,bpm,switch_time,click_idx,click_time_s
sub08,test,1,cued,2,116.0,12,0,0.21879166666666666
sub08,test,1,cued,2,116.0,12,1,0.7349166666666667
sub08,test,1,cued,2,116.0,12,2,1.2521666666666667
sub08,test,1,cued,2,116.0,12,3,1.7694166666666666
sub08,test,1,cued,2,116.0,12,4,2.2866666666666666
sub08,test,1,cued,2,116.0,12,5,2.803916666666667
sub08,test,1,cued,2,116.0,12,6,3.3211666666666666
sub08,test,1,cued,2,116.0,12,7,3.838416666666667
sub08,test,1,cued,2,116.0,12,8,4.356791666666667
sub08,test,1,cued,2,116.0,12,9,4.872916666666667
sub08,test,1,cued,2,116.0,12,10,5.3901666666666666
sub08,test,1,cued,2,116.0,12,11,5.907416666666666
sub08,test,1,cued,2,116.0,12,12,6.424666666666667
sub08,test,1,cued,2,116.0,12,13,6.941916666666667
sub08,test,1,cued,2,116.0,12,14,7.4591666666666665
sub08,test,1,cued,2,116.0,12,15,7.976416666666666
sub08,test,1,cued,2,116.0,12,16,8.493666666666666
sub08,test,1,cued,2,116.0,12,17,9.010916666666667
sub08,test,1,cued,2,116.0,12,18,9.528166666666667
sub08,test,1,cued,2,116.0,12,19,10.045416666666666
sub08,test,1,cued,2,116.0,12,20,10.562666666666667
sub08,test,1,cued,2,116.0,12,21,11.0810625
sub08,test,1,cued,2,116.0,12,22,11.597166666666666
sub08,test,1,cued,2,116.0,12,23,12.114416666666667
sub08,test,1,cued,2,116.0,12,24,12.631666666666666
sub08,test,1,cued,2,116.0,12,25,13.148916666666667
sub08,test,1,cued,2,116.0,12,26,13.666166666666667
sub08,test,1,cued,2,116.0,12,27,14.183416666666666
sub08,test,1,cued,2,116.0,12,28,14.701791666666667
sub08,test,1,cued,2,116.0,12,29,15.217916666666667
sub08,test,1,cued,2,116.0,12,30,15.735166666666666
sub08,test,1,cued,2,116.0,12,31,16.252416666666665
sub08,test,1,cued,2,116.0,12,32,16.769666666666666
sub08,test,1,cued,2,116.0,12,33,17.286916666666666
sub08,test,1,cued,2,116.0,12,34,17.804166666666667
sub08,test,1,cued,2,116.0,12,35,18.321416666666668
sub08,test,1,cued,2,116.0,12,36,18.838666666666665
sub08,test,1,cued,2,116.0,12,37,19.355916666666666
sub08,test,1,cued,2,116.0,12,38,19.873166666666666
sub08,test,1,cued,2,116.0,12,39,20.390416666666667
sub08,test,1,cued,2,116.0,12,40,20.907666666666668
