subject,trial,meter,switch_beat,tau_mean,tau_lo,tau_hi,max_rhat,converged
sub08,1,2,23.2,22.5900333048896,20.242771194375326,25.046489225476563,1.0023158541203252,True
sub08,2,3,22.4,23.13966258480052,21.41167529428016,25.03273418026466,1.0018448978480106,True
sub08,4,2,34.8,34.859432906675806,33.22989127425551,36.23909811129564,1.0044935675018638,True
sub08,5,2,27.733333333333334,27.98087915379853,25.301117036862223,30.89315483812115,1.0016491753656815,True
sub08,8,3,30.933333333333334,34.133079496526236,31.909899080110854,35.003623581732874,1.0019620416739294,True
sub08,10,3,33.6,35.16329296109148,32.76181954743923,37.3360686547363,1.0011318040692847,True
sub08,12,2,30.0,36.36441516750214,30.550769775188634,39.67322842862642,1.0044907952667088,True
sub08,15,3,22.4,25.351235450510714,20.614794319276303,41.6033717159715,1.0080766946468644,True
sub08,18,2,36.0,23.202576998918158,5.662504962478825,37.558703842290385,1.0135227713331005,True
sub08,19,3,32.4,33.109501329308436,29.467465024911654,38.81972110042281,1.0070289931063745,True
