subject,phase,trial,condition,meter,bpm,switch_time,click_idx,click_time_s
sub04,test,1,spontaneous,3,116.0,0,0,0.22266666666666668
sub04,test,1,spontaneous,3,116.0,0,1,0.7387916666666666
sub04,test,1,spontaneous,3,116.0,0,2,1.2560416666666667
sub04,test,1,spontaneous,3,116.0,0,3,1.7732916666666667
sub04,test,1,spontaneous,3,116.0,0,4,2.2905416666666665
sub04,test,1,spontaneous,3,116.0,0,5,2.8077916666666667
sub04,test,1,spontaneous,3,116.0,0,6,3.3250416666666665
sub04,test,1,spontaneous,3,116.0,0,7,3.8422916666666667
sub04,test,1,spontaneous,3,116.0,0,8,4.359541666666667
sub04,test,1,spontaneous,3,116.0,0,9,4.876791666666667
sub04,test,1,spontaneous,3,116.0,0,10,5.394041666666666
sub04,test,1,spontaneous,3,116.0,0,11,5.911291666666667
sub04,test,1,spontaneous,3,116.0,0,12,6.428541666666667
sub04,test,1,spontaneous,3,116.0,0,13,6.945791666666667
sub04,test,1,spontaneous,3,116.0,0,14,7.463041666666666
sub04,test,1,spontaneous,3,116.0,0,15,7.980291666666667
sub04,test,1,spontaneous,3,116.0,0,16,8.497541666666667
sub04,test,1,spontaneous,3,116.0,0,17,9.014791666666667
sub04,test,1,spontaneous,3,116.0,0,18,9.532041666666666
sub04,test,1,spontaneous,3,116.0,0,19,10.049291666666667
sub04,test,1,spontaneous,3,116.0,0,20,10.566541666666666
sub04,test,1,spontaneous,3,116.0,0,21,11.083791666666666
sub04,test,1,spontaneous,3,116.0,0,22,11.601041666666667
sub04,test,1,spontaneous,3,116.0,0,23,12.118291666666666
sub04,test,1,spontaneous,3,116.0,0,24,12.635541666666667
sub04,test,1,spontaneous,3,116.0,0,25,13.152791666666667
sub04,test,1,spontaneous,3,116.0,0,26,13.670041666666666
sub04,test,1,spontaneous,3,116.0,0,27,14.187291666666667
sub04,test,1,spontaneous,3,116.0,0,28,14.704541666666668
sub04,test,1,spontaneous,3,116.0,0,29,15.221791666666666
sub04,test,1,spontaneous,3,116.0,0,30,15.739041666666667
sub04,test,1,spontaneous,3,116.0,0,31,16.256291666666666
sub04,test,1,spontaneous,3,116.0,0,32,16.773541666666667
sub04,test,1,spontaneous,3,116.0,0,33,17.290791666666667
sub04,test,1,spontaneous,3,116.0,0,34,17.808041666666668
sub04,test,1,spontaneous,3,116.0,0,35,18.325291666666665
sub04,test,1,spontaneous,3,116.0,0,36,18.842541666666666
sub04,test,1,spontaneous,3,116.0,0,37,19.359791666666666
sub04,test,1,spontaneous,3,116.0,0,38,19.877041666666667
sub04,test,1,spontaneous,3,116.0,0,39,20.394291666666668
sub04,test,1,spontaneous,3,116.0,0,40,20.91154166666667
sub04,test,1,spontaneous,3,116.0,0,41,21.428791666666665
sub04,test,1,spontaneous,3,116.0,0,42,21.946041666666666
sub04,test,1,spontaneous,3,116.0,0,43,22.463291666666667
sub04,test,1,spontaneous,3,116.0,0,44,22.980541666666667
sub04,test,1,spontaneous,3,116.0,0,45,23.497791666666668
sub04,test,1,spontaneous,3,116.0,0,46,24.015041666666665
sub04,test,1,spontaneous,3,116.0,0,47,24.532291666666666
sub04,test,1,spontaneous,3,116.0,0,48,25.049541666666666
sub04,test,1,spontaneous,3,116.0,0,49,25.566791666666667
sub04,test,1,spontaneous,3,116.0,0,50,26.0851875
sub04,test,1,spontaneous,3,116.0,0,51,26.60129166666667
sub04,test,1,spontaneous,3,116.0,0,52,27.118541666666665
sub04,test,1,spontaneous,3,116.0,0,53,27.635791666666666
sub04,test,1,spontaneous,3,116.0,0,54,28.153041666666667
sub04,test,1,spontaneous,3,116.0,0,55,28.670291666666667
sub04,test,1,spontaneous,3,116.0,0,56,29.187541666666668
sub04,test,2,cued,3,104.0,18,0,0.22666666666666666
sub04,test,2,cued,3,104.0,18,1,0.8024375
sub04,test,2,cued,3,104.0,18,2,1.3793541666666667
sub04,test,2,cued,3,104.0,18,3,1.9562708333333334
sub04,test,2,cued,3,104.0,18,4,2.5331875
sub04,test,2,cued,3,104.0,18,5,3.1101041666666664
sub04,test,2,cued,3,104.0,18,6,3.6870208333333334
sub04,test,2,cued,3,104.0,18,7,4.2639375
sub04,test,2,cued,3,104.0,18,8,4.8408541666666665
sub04,test,2,cued,3,104.0,18,9,5.417770833333333
sub04,test,2,cued,3,104.0,18,10,5.9946875
sub04,test,2,cued,3,104.0,18,11,6.571604166666667
sub04,test,2,cued,3,104.0,18,12,7.148520833333333
sub04,test,2,cued,3,104.0,18,13,7.726583333333333
sub04,test,2,cued,3,104.0,18,14,8.302354166666667
sub04,test,2,cued,3,104.0,18,15,8.880416666666667
sub04,test,2,cued,3,104.0,18,16,9.4561875
sub04,test,2,cued,3,104.0,18,17,10.033104166666666
sub04,test,2,cued,3,104.0,18,18,10.610020833333333
sub04,test,2,cued,3,104.0,18,19,11.1869375
sub04,test,2,cued,3,104.0,18,20,11.763854166666667
sub04,test,2,cued,3,104.0,18,21,12.341916666666666
sub04,test,2,cued,3,104.0,18,22,12.9176875
sub04,test,2,cued,3,104.0,18,23,13.494604166666667
sub04,test,2,cued,3,104.0,18,24,14.071520833333333
sub04,test,2,cued,3,104.0,18,25,14.6484375
sub04,test,2,cued,3,104.0,18,26,15.225354166666667
sub04,test,2,cued,3,104.0,18,27,15.802270833333333
sub04,test,2,cued,3,104.0,18,28,16.3791875
sub04,test,2,cued,3,104.0,18,29,16.956104166666666
sub04,test,2,cued,3,104.0,18,30,17.53302083333333
