comparison,parameter,cued_mean,spontaneous_mean,diff_mean,hdi_94_lo,hdi_94_hi,credible,2_mean,3_mean
cued - spontaneous,tau,30.72490862823725,21.38542252131805,9.339486106919203,6.850501564117273,11.234633301277054,True,,
cued - spontaneous,s,0.16404009893768218,0.16313667498523904,0.0009034239524431369,-0.04949212490319352,0.06690740745360427,False,,
cued - spontaneous,sigma_sw,0.45475515633834107,0.6731879697175676,-0.21843281337922651,-0.4812214141463548,0.014013762486167813,False,,
cued - spontaneous,sigma_0,0.4121740020917492,0.6141713238475613,-0.2019973217558122,-0.25039707399906797,-0.1542928593416134,True,,
2 - 3,tau,,,-4.6579525759829785,-7.088207607895175,-2.647402121045289,True,23.740007177262232,28.39795975324521
2 - 3,s,,,0.0010116467397485753,-0.059704345188793556,0.05663367117304613,False,0.16425344456310612,0.16324179782335757
2 - 3,sigma_sw,,,0.30108387624764726,0.03284994846256423,0.5355891149234262,True,0.7170806696594609,0.4159967934118138
2 - 3,sigma_0,,,-0.042987434421399184,-0.09304880281973316,0.005033464370565177,False,0.49190662206004815,0.5348940564814473
