subject,phase,trial,click_idx,click_time_s,matched_tap_time_s,matched_tap_idx,asynchrony_s,rms_db,asynchrony_ms,missed_beat,accented,condition,meter,bpm,switch_time,low_confidence_trial
sub04,test,1,0,0.22266666666666668,0.3673125,0.0,0.1446458333333333,49.98747058313601,144.64583333333331,False,1.0,spontaneous,3,116.0,0,True
sub04,test,1,1,0.7399375,0.7204166666666667,1.0,-0.01952083333333332,46.31849124239921,-19.52083333333332,False,1.0,spontaneous,3,116.0,0,True
sub04,test,1,2,1.2560416666666667,1.2868958333333333,2.0,0.030854166666666627,45.372231399497586,30.85416666666663,False,1.0,spontaneous,3,116.0,0,True
sub04,test,1,3,1.7732916666666667,1.7133125,3.0,-0.059979166666666694,54.10816435234885,-59.97916666666669,False,1.0,spontaneous,3,116.0,0,True
sub04,test,1,4,2.2905416666666665,2.2241666666666666,4.0,-0.06637499999999985,41.060355618806724,-66.37499999999986,False,1.0,spontaneous,3,116.0,0,True
sub04,test,1,5,2.8077916666666667,2.7457083333333334,5.0,-0.06208333333333327,41.12771102113712,-62.08333333333327,False,1.0,spontaneous,3,116.0,0,True
sub04,test,1,6,3.3250416666666665,3.23825,6.0,-0.0867916666666666,53.90441206257219,-86.7916666666666,False,1.0,spontaneous,3,116.0,0,True
sub04,test,1,7,3.8422916666666667,3.7498958333333334,7.0,-0.09239583333333323,34.19346745219976,-92.39583333333323,False,0.0,spontaneous,3,116.0,0,True
sub04,test,1,8,4.359541666666667,4.258145833333334,8.0,-0.10139583333333313,42.043076839733956,-101.39583333333313,False,1.0,spontaneous,3,116.0,0,True
sub04,test,1,9,4.876791666666667,4.818645833333333,9.0,-0.05814583333333356,52.472709045335854,-58.14583333333356,False,1.0,spontaneous,3,116.0,0,True
sub04,test,1,10,5.394041666666666,5.311145833333334,10.0,-0.08289583333333272,36.521318010161174,-82.89583333333272,False,0.0,spontaneous,3,116.0,0,True
sub04,test,1,11,5.911291666666667,5.8444375,11.0,-0.06685416666666733,33.70047921572417,-66.85416666666733,False,0.0,spontaneous,3,116.0,0,True
sub04,test,1,12,6.428541666666667,6.36575,12.0,-0.06279166666666658,50.80438333555168,-62.79166666666658,False,1.0,spontaneous,3,116.0,0,True
sub04,test,1,13,6.945791666666667,6.914020833333334,13.0,-0.03177083333333286,39.28161236017126,-31.77083333333286,False,0.0,spontaneous,3,116.0,0,True
sub04,test,1,14,7.463041666666666,7.407520833333334,14.0,-0.055520833333332575,32.2695361877162,-55.520833333332575,False,0.0,spontaneous,3,116.0,0,True
sub04,test,1,15,7.980291666666667,7.916145833333333,15.0,-0.06414583333333379,52.22957097670907,-64.1458333333338,False,1.0,spontaneous,3,116.0,0,True
sub04,test,1,16,8.497541666666667,8.4070625,16.0,-0.09047916666666644,32.69363418961265,-90.47916666666644,False,0.0,spontaneous,3,116.0,0,True
sub04,test,1,17,9.014791666666667,8.902770833333333,17.0,-0.11202083333333412,42.007369299133316,-112.02083333333412,False,1.0,spontaneous,3,116.0,0,True
sub04,test,1,18,9.532041666666666,9.455020833333334,18.0,-0.0770208333333322,50.52600539441437,-77.0208333333322,False,1.0,spontaneous,3,116.0,0,True
sub04,test,1,19,10.049291666666667,9.976958333333334,19.0,-0.07233333333333292,34.64361087326285,-72.33333333333292,False,0.0,spontaneous,3,116.0,0,True
sub04,test,1,20,10.566541666666666,10.536,20.0,-0.030541666666666245,45.10405612595724,-30.541666666666245,False,1.0,spontaneous,3,116.0,0,True
sub04,test,1,21,11.083791666666666,11.019354166666666,21.0,-0.06443750000000037,52.38002068261464,-64.43750000000037,False,1.0,spontaneous,3,116.0,0,True
sub04,test,1,22,11.601041666666667,11.537375,22.0,-0.06366666666666632,37.042545719738705,-63.666666666666316,False,0.0,spontaneous,3,116.0,0,True
sub04,test,1,23,12.118291666666666,12.072604166666666,23.0,-0.04568749999999966,31.75623738809413,-45.68749999999966,False,0.0,spontaneous,3,116.0,0,True
sub04,test,1,24,12.635541666666667,12.5585,24.0,-0.07704166666666623,51.27236090928808,-77.04166666666623,False,1.0,spontaneous,3,116.0,0,True
sub04,test,1,25,13.152791666666667,13.103979166666667,25.0,-0.04881250000000037,38.37190749104414,-48.81250000000037,False,0.0,spontaneous,3,116.0,0,True
sub04,test,1,26,13.670041666666666,13.603770833333334,26.0,-0.06627083333333239,37.121567609942346,-66.27083333333239,False,0.0,spontaneous,3,116.0,0,True
sub04,test,1,27,14.187291666666667,14.129375,27.0,-0.05791666666666728,51.57004039318294,-57.91666666666728,False,1.0,spontaneous,3,116.0,0,True
sub04,test,1,28,14.704541666666668,14.662833333333333,28.0,-0.041708333333334124,36.08852315255218,-41.708333333334124,False,0.0,spontaneous,3,116.0,0,True
sub04,test,1,29,15.221791666666666,15.110875,29.0,-0.11091666666666633,35.49329524832209,-110.91666666666633,False,0.0,spontaneous,3,116.0,0,True
sub04,test,1,30,15.739041666666667,15.685979166666666,30.0,-0.05306250000000112,53.296886324620914,-53.06250000000112,False,1.0,spontaneous,3,116.0,0,True
sub04,test,1,31,16.256291666666666,16.2310625,31.0,-0.025229166666665748,35.86369180694264,-25.229166666665748,False,0.0,spontaneous,3,116.0,0,True
sub04,test,1,32,16.773541666666667,16.709125,32.0,-0.06441666666666634,28.39257142785999,-64.41666666666634,False,0.0,spontaneous,3,116.0,0,True
sub04,test,1,33,17.290791666666667,17.243666666666666,33.0,-0.047125000000001194,49.79942736026427,-47.125000000001194,False,1.0,spontaneous,3,116.0,0,True
sub04,test,1,34,17.808041666666668,17.774270833333333,34.0,-0.033770833333335304,35.43492826582185,-33.770833333335304,False,0.0,spontaneous,3,116.0,0,True
sub04,test,1,35,18.325291666666665,18.284395833333335,35.0,-0.040895833333330245,30.63384186324024,-40.895833333330245,False,0.0,spontaneous,3,116.0,0,True
sub04,test,1,36,18.842541666666666,18.81025,36.0,-0.03229166666666572,53.55247182784901,-32.29166666666572,False,1.0,spontaneous,3,116.0,0,True
sub04,test,1,37,19.359791666666666,19.3371875,37.0,-0.022604166666667425,33.89493405237488,-22.604166666667425,False,0.0,spontaneous,3,116.0,0,True
sub04,test,1,38,19.877041666666667,19.80975,38.0,-0.06729166666666586,38.95887349625901,-67.29166666666586,False,0.0,spontaneous,3,116.0,0,True
sub04,test,1,39,20.394291666666668,20.299833333333332,39.0,-0.09445833333333553,50.001192879293555,-94.45833333333553,False,1.0,spontaneous,3,116.0,0,True
sub04,test,1,40,20.91154166666667,20.813645833333332,40.0,-0.09789583333333596,35.43035886414569,-97.89583333333596,False,0.0,spontaneous,3,116.0,0,True
sub04,test,1,41,21.428791666666665,21.363458333333334,41.0,-0.06533333333333147,38.0903354807891,-65.33333333333147,False,0.0,spontaneous,3,116.0,0,True
sub04,test,1,42,21.946041666666666,21.89,42.0,-0.056041666666665435,48.086017943247505,-56.041666666665435,False,1.0,spontaneous,3,116.0,0,True
sub04,test,1,43,22.463291666666667,22.436958333333333,43.0,-0.026333333333333542,36.3422514608829,-26.33333333333354,False,0.0,spontaneous,3,116.0,0,True
sub04,test,1,44,22.980541666666667,22.920291666666667,44.0,-0.060249999999999915,40.980053447850665,-60.249999999999915,False,0.0,spontaneous,3,116.0,0,True
sub04,test,1,45,23.497791666666668,23.435833333333335,45.0,-0.061958333333333115,52.76458347803494,-61.958333333333115,False,1.0,spontaneous,3,116.0,0,True
sub04,test,1,46,24.015041666666665,23.97072916666667,46.0,-0.044312499999996646,40.109860694897144,-44.312499999996646,False,0.0,spontaneous,3,116.0,0,True
sub04,test,1,47,24.532291666666666,24.47475,47.0,-0.05754166666666549,36.83482503409847,-57.54166666666549,False,0.0,spontaneous,3,116.0,0,True
sub04,test,1,48,25.049541666666666,24.978708333333334,48.0,-0.07083333333333286,50.892400009067025,-70.83333333333286,False,1.0,spontaneous,3,116.0,0,True
sub04,test,1,49,25.566791666666667,25.493708333333334,49.0,-0.07308333333333294,35.24827785636772,-73.08333333333294,False,0.0,spontaneous,3,116.0,0,True
sub04,test,1,50,26.0851875,26.007291666666667,50.0,-0.07789583333333283,32.11467439105488,-77.89583333333283,False,0.0,spontaneous,3,116.0,0,True
sub04,test,1,51,26.60129166666667,26.552479166666668,51.0,-0.04881250000000037,49.97743971202269,-48.81250000000037,False,1.0,spontaneous,3,116.0,0,True
sub04,test,1,52,27.118541666666665,27.09525,52.0,-0.023291666666665378,31.106247778822876,-23.291666666665378,False,0.0,spontaneous,3,116.0,0,True
sub04,test,1,53,27.635791666666666,27.589604166666668,53.0,-0.046187499999998494,42.50726519710679,-46.187499999998494,False,1.0,spontaneous,3,116.0,0,True
sub04,test,1,54,28.153041666666667,28.07525,54.0,-0.07779166666666626,54.538083407409104,-77.79166666666626,False,1.0,spontaneous,3,116.0,0,True
sub04,test,1,55,28.671416666666666,28.612583333333333,55.0,-0.058833333333332405,42.00502177612698,-58.833333333332405,False,1.0,spontaneous,3,116.0,0,True
