subject,phase,trial,condition,meter,bpm,switch_time,tap_idx,tap_time_s,peak_amp,rms_db
sub04,test,1,spontaneous,3,116.0,0,0,0.36983333333333335,0.076385498046875,-35.24813599348717
sub04,test,1,spontaneous,3,116.0,0,1,0.7265625,0.029296875,-41.39755786168809
sub04,test,1,spontaneous,3,116.0,0,2,1.2930833333333334,0.024993896484375,-42.41446069797712
sub04,test,1,spontaneous,3,116.0,0,3,1.7159166666666668,0.120849609375,-32.086540618779004
sub04,test,1,spontaneous,3,116.0,0,4,2.2281041666666668,0.0150146484375,-47.00701776823193
sub04,test,1,spontaneous,3,116.0,0,5,2.7519375,0.01458740234375,-46.26273388073473
sub04,test,1,spontaneous,3,116.0,0,6,3.240875,0.116424560546875,-32.51435868099874
sub04,test,1,spontaneous,3,116.0,0,7,3.7565208333333335,0.0059814453125,-53.275589460964085
sub04,test,1,spontaneous,3,116.0,0,8,4.2645625,0.015777587890625,-45.44721915015242
sub04,test,1,spontaneous,3,116.0,0,9,4.821291666666666,0.102691650390625,-33.376946816001805
sub04,test,1,spontaneous,3,116.0,0,10,5.3164375,0.00811767578125,-51.27573425718693
sub04,test,1,spontaneous,3,116.0,0,11,5.8515,0.013092041015625,-47.19492206488926
sub04,test,1,spontaneous,3,116.0,0,12,6.3682083333333335,0.085601806640625,-35.031436520197936
sub04,test,1,spontaneous,3,116.0,0,13,6.919041666666667,0.0107421875,-49.17113245120899
sub04,test,1,spontaneous,3,116.0,0,14,7.4148125,0.00946044921875,-50.07587773724093
sub04,test,1,spontaneous,3,116.0,0,15,7.918708333333333,0.09796142578125,-33.813943259529644
sub04,test,1,spontaneous,3,116.0,0,16,8.414666666666667,0.010284423828125,-48.885901963697435
sub04,test,1,spontaneous,3,116.0,0,17,8.9089375,0.015472412109375,-46.14825101090684
sub04,test,1,spontaneous,3,116.0,0,18,9.457645833333334,0.085235595703125,-34.920631754489946
sub04,test,1,spontaneous,3,116.0,0,19,9.985291666666667,0.0123291015625,-47.757408838293415
sub04,test,1,spontaneous,3,116.0,0,20,10.5424375,0.024261474609375,-42.35848545736425
sub04,test,1,spontaneous,3,116.0,0,21,11.021979166666666,0.09857177734375,-33.73575908065706
sub04,test,1,spontaneous,3,116.0,0,22,11.5451875,0.01702880859375,-45.607743105731124
sub04,test,1,spontaneous,3,116.0,0,23,12.080395833333334,0.01025390625,-49.114053963118245
sub04,test,1,spontaneous,3,116.0,0,24,12.561104166666667,0.093292236328125,-34.309291212469205
sub04,test,1,spontaneous,3,116.0,0,25,13.10925,0.00921630859375,-49.932627643479606
sub04,test,1,spontaneous,3,116.0,0,26,13.6115,0.015655517578125,-45.84148043908395
sub04,test,1,spontaneous,3,116.0,0,27,14.131895833333333,0.0858154296875,-34.825218725154166
sub04,test,1,spontaneous,3,116.0,0,28,14.669916666666667,0.007293701171875,-51.531327375564885
sub04,test,1,spontaneous,3,116.0,0,29,15.118729166666666,0.013519287109375,-47.31499269863634
sub04,test,1,spontaneous,3,116.0,0,30,15.688666666666666,0.1080322265625,-32.92383919069871
sub04,test,1,spontaneous,3,116.0,0,31,16.236375,0.015716552734375,-46.6084540496436
sub04,test,1,spontaneous,3,116.0,0,32,16.718416666666666,0.006591796875,-52.22354615368789
sub04,test,1,spontaneous,3,116.0,0,33,17.2461875,0.078521728515625,-35.619057434432186
sub04,test,1,spontaneous,3,116.0,0,34,17.782125,0.013885498046875,-46.770969750354524
sub04,test,1,spontaneous,3,116.0,0,35,18.292,0.007904052734375,-51.21558868485897
sub04,test,1,spontaneous,3,116.0,0,36,18.812875,0.10565185546875,-32.935610648403994
sub04,test,1,spontaneous,3,116.0,0,37,19.344645833333335,0.011505126953125,-48.07918389855562
sub04,test,1,spontaneous,3,116.0,0,38,19.815083333333334,0.0098876953125,-49.48934080092676
sub04,test,1,spontaneous,3,116.0,0,39,20.302583333333335,0.075439453125,-35.8397249137684
sub04,test,1,spontaneous,3,116.0,0,40,20.821145833333333,0.006683349609375,-51.87114646823727
sub04,test,1,spontaneous,3,116.0,0,41,21.371208333333332,0.018951416015625,-44.54967181595657
sub04,test,1,spontaneous,3,116.0,0,42,21.89525,0.06011962890625,-37.0236050584226
sub04,test,1,spontaneous,3,116.0,0,43,22.443770833333332,0.0147705078125,-46.358094435476225
sub04,test,1,spontaneous,3,116.0,0,44,22.92575,0.014068603515625,-47.09708598950211
sub04,test,1,spontaneous,3,116.0,0,45,23.4384375,0.100250244140625,-33.62572459038007
sub04,test,1,spontaneous,3,116.0,0,46,23.975875,0.01214599609375,-47.90741471342129
sub04,test,1,spontaneous,3,116.0,0,47,24.480041666666665,0.007781982421875,-51.504144986424365
sub04,test,1,spontaneous,3,116.0,0,48,24.981166666666667,0.085784912109375,-35.0560802870427
sub04,test,1,spontaneous,3,116.0,0,49,25.501166666666666,0.00689697265625,-52.10734477805518
sub04,test,1,spontaneous,3,116.0,0,50,26.0148125,0.00958251953125,-50.06987686087132
sub04,test,1,spontaneous,3,116.0,0,51,26.554916666666667,0.077667236328125,-35.79659262246902
sub04,test,1,spontaneous,3,116.0,0,52,27.103,0.004364013671875,-55.856464709111115
sub04,test,1,spontaneous,3,116.0,0,53,27.593375,0.016632080078125,-45.94739011793586
sub04,test,1,spontaneous,3,116.0,0,54,28.0778125,0.12060546875,-32.10844509706484
sub04,test,1,spontaneous,3,116.0,0,55,28.619729166666666,0.029754638671875,-41.88795779484085
sub04,test,1,spontaneous,3,116.0,0,56,29.140083333333333,0.01513671875,-47.06746976246912
sub04,test,1,spontaneous,3,116.0,0,57,29.6409375,0.098236083984375,-34.24692785908925
sub04,test,2,cued,3,104.0,18,0,0.39079166666666665,0.046661376953125,-39.20784442988092
sub04,test,2,cued,3,104.0,18,1,0.7614375,0.0228271484375,-43.138774116014886
sub04,test,2,cued,3,104.0,18,2,1.2983541666666667,0.027313232421875,-42.47343719777667
sub04,test,2,cued,3,104.0,18,3,1.8825416666666666,0.072906494140625,-35.94544868877621
sub04,test,2,cued,3,104.0,18,4,2.4586875,0.00775146484375,-52.22701315419399
sub04,test,2,cued,3,104.0,18,5,3.044395833333333,0.01361083984375,-47.248345457833736
sub04,test,2,cued,3,104.0,18,6,3.5884375,0.084259033203125,-35.16134968767862
sub04,test,2,cued,3,104.0,18,7,4.198270833333333,0.008819580078125,-50.475765274819715
sub04,test,2,cued,3,104.0,18,8,4.757875,0.01898193359375,-44.696374678936444
sub04,test,2,cued,3,104.0,18,9,5.2764375,0.101104736328125,-33.619396344579336
sub04,test,2,cued,3,104.0,18,10,5.883916666666667,0.006988525390625,-53.00337743415761
sub04,test,2,cued,3,104.0,18,11,6.4870625,0.011322021484375,-49.62756251525814
sub04,test,2,cued,3,104.0,18,12,7.044208333333334,0.05377197265625,-37.88410088383055
sub04,test,2,cued,3,104.0,18,13,7.6344375,0.00604248046875,-53.04301718752789
sub04,test,2,cued,3,104.0,18,14,8.215645833333333,0.011474609375,-48.80630122641722
sub04,test,2,cued,3,104.0,18,15,8.80375,0.088134765625,-34.6559155715257
sub04,test,2,cued,3,104.0,18,16,9.395291666666667,0.006622314453125,-52.455920493340145
sub04,test,2,cued,3,104.0,18,17,9.953270833333333,0.011993408203125,-48.40571280315598
sub04,test,2,cued,3,104.0,18,18,10.491604166666667,0.05242919921875,-38.59708010384129
sub04,test,2,cued,3,104.0,18,19,11.1070625,0.014251708984375,-47.64886600295367
sub04,test,2,cued,3,104.0,18,20,11.6128125,0.011322021484375,-48.92679479911478
sub04,test,2,cued,3,104.0,18,21,12.270125,0.073974609375,-35.97978553179896
sub04,test,2,cued,3,104.0,18,22,12.861166666666668,0.01324462890625,-47.404821256922276
sub04,test,2,cued,3,104.0,18,23,13.371395833333333,0.013916015625,-46.91327638050226
sub04,test,2,cued,3,104.0,18,24,14.00925,0.084320068359375,-35.11895976144589
sub04,test,2,cued,3,104.0,18,25,14.636895833333334,0.008209228515625,-50.75876250514995
sub04,test,2,cued,3,104.0,18,26,15.167020833333334,0.0111083984375,-48.53743504423693
sub04,test,2,cued,3,104.0,18,27,15.7563125,0.0887451171875,-34.670370182264
sub04,test,2,cued,3,104.0,18,28,16.338208333333334,0.00439453125,-56.17928149396072
sub04,test,2,cued,3,104.0,18,29,16.8995,0.011749267578125,-48.196469435515475
sub04,test,2,cued,3,104.0,18,30,17.455354166666666,0.07476806640625,-35.91584067567213
sub04,test,2,cued,3,104.0,18,31,18.075645833333333,0.009185791015625,-50.098078614326916
sub04,test,2,cued,3,104.0,18,32,18.646625,0.0582275390625,-37.720493116118014
sub04,test,2,cued,3,104.0,18,33,19.239958333333334,0.018463134765625,-45.345498321267186
sub04,test,2,cued,3,104.0,18,34,19.830916666666667,0.078704833984375,-35.4695535287657
sub04,test,2,cued,3,104.0,18,35,20.346395833333332,0.008758544921875,-50.983333963035875
sub04,test,2,cued,3,104.0,18,36,20.94975,0.07379150390625,-35.96874862776452
sub04,test,2,cued,3,104.0,18,37,21.514104166666666,0.01904296875,-45.15870680936664
sub04,test,2,cued,3,104.0,18,38,22.1285,0.0762939453125,-35.5780721511296
sub04,test,2,cued,3,104.0,18,39,22.701708333333332,0.008514404296875,-50.36836726039269
sub04,test,2,cued,3,104.0,18,40,23.287354166666667,0.056793212890625,-37.548729687616714
sub04,test,2,cued,3,104.0,18,41,23.834729166666666,0.012542724609375,-47.98993483624897
sub04,test,2,cued,3,104.0,18,42,24.399333333333335,0.082244873046875,-35.102507841473106
sub04,test,2,cued,3,104.0,18,43,24.921583333333334,0.00933837890625,-50.15776002426847
sub04,test,2,cued,3,104.0,18,44,25.553875,0.071624755859375,-36.24421941673777
sub04,test,2,cued,3,104.0,18,45,26.125583333333335,0.01318359375,-47.07067067432991
sub04,test,2,cued,3,104.0,18,46,26.728916666666667,0.0806884765625,-35.28325306580879
sub04,test,2,cued,3,104.0,18,47,27.279333333333334,0.01824951171875,-45.517191696626334
sub04,test,2,cued,3,104.0,18,48,27.869,0.088714599609375,-34.561844302894684
sub04,test,2,cued,3,104.0,18,49,28.455979166666665,0.009613037109375,-50.2126222770862
sub04,test,2,cued,3,104.0,18,50,28.987104166666665,0.073089599609375,-35.988368056369794
sub04,test,2,cued,3,104.0,18,51,29.601854166666666,0.016143798828125,-46.075146929184605
sub04,test,3,spontaneous,3,120.0,0,0,1.1456666666666666,0.109161376953125,-32.61961872918508
sub04,test,3,spontaneous,3,120.0,0,1,1.6493541666666667,0.02294921875,-43.585273318388474
sub04,test,3,spontaneous,3,120.0,0,2,2.1481041666666667,0.036651611328125,-40.94741740486146
sub04,test,3,spontaneous,3,120.0,0,3,2.6607291666666666,0.11962890625,-31.980156208050502
sub04,test,3,spontaneous,3,120.0,0,4,3.166875,0.01776123046875,-45.808086132847635
sub04,test,3,spontaneous,3,120.0,0,5,3.6094583333333334,0.02288818359375,-43.92612618943417
sub04,test,3,spontaneous,3,120.0,0,6,4.120645833333334,0.099945068359375,-33.21206297520425
sub04,test,3,spontaneous,3,120.0,0,7,4.585458333333333,0.013458251953125,-48.34639943426005
sub04,test,3,spontaneous,3,120.0,0,8,5.1534375,0.04052734375,-39.813282112133365
