subject,trial,meter,n_pulses,bpm,tau_mean,tau_lo,tau_hi,tau_ci_width,tau_mean_s,max_rhat,converged
sub04,1,3,57,116.0,52.209519710912254,51.801251800224996,53.08934925515405,1.2880974549290514,27.00492398840289,1.0163328802077112,True
sub04,3,3,60,120.0,14.105341296281585,11.425464017414173,15.972285424121413,4.54682140670724,7.052670648140793,1.0025127696404197,True
sub04,7,2,56,112.0,16.1210271145335,13.693521737577209,19.083693835052827,5.390172097475618,8.636264525642947,1.001855519627935,True
sub04,8,2,57,116.0,25.01799463680196,23.097892537631513,27.393337192050797,4.295444654419285,12.940342053518254,1.0034930614455353,True
sub04,11,3,53,120.0,21.807740275552415,10.38803908521597,42.70839324173886,32.32035415652289,10.903870137776208,1.0024128478351046,True
sub04,14,3,57,116.0,15.418558647490068,13.275289029795417,17.234500480332244,3.959211450536827,7.975116541805208,1.0014331271603247,True
sub04,15,2,52,104.0,20.07404579497718,17.984479730264123,22.46700046141936,4.482520731155237,11.58118026633299,1.0022934394338208,True
sub04,17,3,52,104.0,17.9879910796464,15.851496273922773,20.434153325377007,4.582657051454234,10.37768716133446,1.003547107011492,True
sub04,18,2,60,120.0,14.253571002536166,11.606091453483668,17.079522379074174,5.473430925590506,7.126785501268083,1.0023001602203332,True
sub04,20,2,52,104.0,24.22077767483446,18.51976069772511,29.394777389913,10.875016692187888,13.973525581635265,1.004322618147969,True
