trial,meter,switch_beat,tau_mean,tau_lo,tau_hi,max_rhat,converged
2,3,31.2,21.733256652130155,-1.3424209090232884,44.55577868472653,1.002510097529094,True
4,2,34.8,21.106899039615055,1.1285697262054242,46.38546640494268,1.006643375106715,True
5,3,31.2,20.26485445958471,11.162147632547303,37.192006232936585,1.003473818465459,True
6,2,31.2,29.99618033333217,7.470342354097816,40.96597990145918,1.0021634614519357,True
9,3,24.0,27.291832625195518,6.343232098414357,55.85295516003926,1.002714307375431,True
10,3,32.0,43.44539343957192,17.919366717841154,71.21113428570739,1.0078445383865897,True
12,2,36.0,40.2642628722992,29.209467496339474,52.30414279940934,1.0259084983711961,True
13,2,30.0,37.072490572784695,20.25172064384142,46.75621308966622,1.0162539239578277,True
16,3,31.2,37.48670530200899,22.92663262771946,59.216300258126964,1.010323124078303,True
19,2,24.266666666666666,26.147984055945884,7.497057590088626,44.18653708384749,1.002822621430299,True
