condition,meter,BPM,SwitchTime,Subject,TrialNumber,switch
cued,2,116,12,sub08,1,1
cued,3,112,12,sub08,2,1
spontaneous,2,104,0,sub08,3,1
cued,2,116,18,sub08,4,1
cued,2,104,16,sub08,5,1
spontaneous,2,112,0,sub08,6,1
spontaneous,3,108,0,sub08,7,1
cued,3,116,16,sub08,8,1
spontaneous,2,100,0,sub08,9,1
cued,3,112,18,sub08,10,1
spontaneous,3,116,0,sub08,11,1
cued,2,100,18,sub08,12,1
spontaneous,3,108,0,sub08,13,1
spontaneous,3,120,0,sub08,14,1
cued,3,112,12,sub08,15,1
spontaneous,2,100,0,sub08,16,0
spontaneous,2,100,0,sub08,17,1
cued,2,120,18,sub08,18,1
cued,3,108,18,sub08,19,1
spontaneous,3,100,0,sub08,20,1
